X,Y,DIST_LABEL,DIST_NUM,XCOORD,YCOORD
1173382.599287269404158,1909616.350777300773188,18TH,18,1173382.599287,1909616.350777
1162500.640964415622875,1904174.789510582108051,13TH,13,1162500.640964,1904174.789511
1151036.420977178728208,1900418.272200780222192,11TH,11,1151036.420977,1900418.272201
1140348.686863642418757,1900813.530120931565762,15TH,15,1140348.686864,1900813.530121
1167004.198621711693704,1894861.699700579047203,12TH,12,1167004.198622,1894861.699701
1160972.605294063221663,1945030.024949958082289,24TH,24,1160972.605294,1945030.024950
1119767.761769520351663,1933502.613497450714931,16TH,16,1119767.761770,1933502.613497
1091666.831469615222886,1942729.146058685611933,16TH,16,1091666.831470,1942729.146059
1177099.947588174138218,1894185.875144640449435,1ST,1,1177099.947588,1894185.875145
1153816.009488166775554,1887556.384785438887775,10TH,10,1153816.009488,1887556.384785
1166412.807913122233003,1877620.518067880300805,9TH,9,1166412.807913,1877620.518068
1181575.899011564208195,1873701.542894020443782,2ND,2,1181575.899012,1873701.542894
1149923.525472125736997,1930930.168204419547692,17TH,17,1149923.525472,1930930.168204
1162545.359270457178354,1935839.586116532795131,20TH,20,1162545.359270,1935839.586117
1121481.342056958936155,1935703.560668169055134,31ST,31,1121481.342057,1935703.560668
1124731.356553182238713,1929851.238111535087228,31ST,31,1124731.356553,1929851.238112
1166268.490134744904935,1924269.752556752413511,19TH,19,1166268.490135,1924269.752557
1158706.482910373713821,1913616.788699363591149,14TH,14,1158706.482910,1913616.788699
1140278.532626279629767,1914568.684776857262477,25TH,25,1140278.532626,1914568.684777
1149357.60200772783719,1862572.50838289805688,8TH,8,1149357.602008,1862572.508383
1169704.697370493784547,1861498.136732446728274,7TH,7,1169704.697370,1861498.136732
1185433.842843702528626,1860420.651510297553614,3RD,3,1185433.842844,1860420.651510
1195231.703432417940348,1834862.366452069021761,4TH,4,1195231.703432,1834862.366452
1174894.888745895586908,1849879.624188967514783,6TH,6,1174894.888746,1849879.624189
1158965.208386849611998,1832243.413854373153299,31ST,31,1158965.208387,1832243.413854
1164732.431683109840378,1835685.140623674495146,22ND,22,1164732.431683,1835685.140624
1180213.865704458672553,1828030.74550934555009,5TH,5,1180213.865704,1828030.745509
